1000,"Document name"
1001,"Document name code"
1003,"Message type code"
1004,"Document identifier"
1049,"Message section code"
1050,"Sequence position identifier"
1052,"Message item identifier"
1054,"Message sub-item identifier"
1056,"Version identifier"
1058,"Release identifier"
1060,"Revision identifier"
1073,"Document line action code"
1082,"Line item identifier"
1131,"Code list identification code"
1145,"Traveller reference identifier"
1146,"Account name"
1147,"Account identifier"
1148,"Account abbreviated name"
1153,"Reference code qualifier"
1154,"Reference identifier"
1156,"Document line identifier"
1159,"Sequence identifier source code"
1170,"Accounting journal name"
1171,"Accounting journal identifier"
1218,"Document originals required quantity"
1220,"Document copies required quantity"
1222,"Configuration level number"
1225,"Message function code"
1227,"Calculation sequence code"
1228,"Action description"
1229,"Action code"
1230,"Allowance or charge identifier"
1312,"Consignment load sequence identifier"
1366,"Document source description"
1373,"Document status code"
1476,"Controlling agency identifier"
1490,"Consolidation item number"
1496,"Goods item number"
1501,"Computer environment details code qualifier"
1502,"Data format description"
1503,"Data format description code"
1505,"Value list type code"
1507,"Designated class code"
1508,"File name"
1510,"Computer environment name"
1511,"Computer environment name code"
1514,"Value list name"
1516,"File format name"
1518,"Value list identifier"
1520,"Data set identifier"
1523,"Message implementation identification code"
2000,"Date"
2002,"Time"
2005,"Date or time or period function code qualifier"
2009,"Terms time relation code"
2013,"Frequency code"
2015,"Despatch pattern code"
2017,"Despatch pattern timing code"
2018,"Age"
2023,"Period type code qualifier"
2029,"Time zone identifier"
2031,"Time variation quantity"
2116,"Time zone difference quantity"
2118,"Period detail description"
2119,"Period detail description code"
2148,"Date variation number"
2151,"Period type code"
2152,"Period count quantity"
2155,"Charge period type code"
2156,"Check-in time"
2160,"Days of week set identifier"
2162,"Journey leg duration quantity"
2164,"Millisecond time"
2379,"Date or time or period format code"
2380,"Date or time or period text"
2475,"Event time reference code"
3005,"Maintenance operation operator code"
3009,"Maintenance operation payer code"
3035,"Party function code qualifier"
3036,"Party name"
3039,"Party identifier"
3042,"Street and number or post office box identifier"
3045,"Party name format code"
3055,"Code list responsible agency code"
3077,"Test medium code"
3079,"Organisation classification code"
3082,"Organisational class name"
3083,"Organisational class name code"
3124,"Name and address description"
3126,"Carrier name"
3127,"Carrier identifier"
3131,"Address type code"
3139,"Contact function code"
3148,"Communication address identifier"
3153,"Communication medium type code"
3155,"Communication means type code"
3164,"City name"
3192,"Account holder name"
3194,"Account holder identifier"
3197,"Agent identifier"
3207,"Country identifier"
3222,"First related location name"
3223,"First related location identifier"
3224,"Location name"
3225,"Location identifier"
3227,"Location function code qualifier"
3228,"Country subdivision name"
3229,"Country subdivision identifier"
3232,"Second related location name"
3233,"Second related location identifier"
3236,"Sample location description"
3237,"Sample location description code"
3239,"Country of origin identifier"
3251,"Postal identification code"
3279,"Geographic area code"
3285,"Instruction receiving party identifier"
3286,"Address component description"
3289,"Person characteristic code qualifier"
3292,"Nationality name"
3293,"Nationality name code"
3295,"Name original alphabet code"
3299,"Address purpose code"
3301,"Enacting party identifier"
3310,"Inherited characteristic description"
3311,"Inherited characteristic description code"
3397,"Name status code"
3398,"Name component description"
3401,"Name component usage code"
3403,"Name type code"
3405,"Name component type code qualifier"
3412,"Contact name"
3413,"Contact identifier"
3432,"Institution name"
3433,"Institution name code"
3434,"Institution branch identifier"
3436,"Institution branch location name"
3446,"Party tax identifier"
3449,"Bank identifier"
3452,"Language name"
3453,"Language name code"
3455,"Language code qualifier"
3457,"Originator type code"
3459,"Frequent traveller identifier"
3460,"Given name"
3463,"Gate identifier"
3465,"In-house identifier"
3475,"Address status code"
3477,"Address format code"
3478,"Marital status description"
3479,"Marital status description code"
3480,"Person job title"
3482,"Religion name"
3483,"Religion name code"
3493,"Nationality code qualifier"
3496,"Sales channel identifier"
3499,"Gender code"
3500,"Family name"
3503,"Access authorisation identifier"
3504,"Given name title description"
3507,"Benefit coverage constituents code"
4009,"Option code"
4017,"Delivery plan commitment level code"
4018,"Related information description"
4022,"Business description"
4025,"Business function code"
4027,"Business function type code qualifier"
4035,"Priority type code qualifier"
4036,"Priority description"
4037,"Priority description code"
4038,"Additional safety information description"
4039,"Additional safety information description code"
4043,"Trade class code"
4044,"Safety section name"
4046,"Safety section number"
4048,"Certainty description"
4049,"Certainty description code"
4051,"Characteristic relevance code"
4052,"Delivery or transport terms description"
4053,"Delivery or transport terms description code"
4055,"Delivery or transport terms function code"
4056,"Question description"
4057,"Question description code"
4059,"Clause code qualifier"
4065,"Contract and carriage condition code"
4068,"Clause name"
4069,"Clause name code"
4071,"Proviso code qualifier"
4072,"Proviso type description"
4073,"Proviso type description code"
4074,"Proviso calculation description"
4075,"Proviso calculation description code"
4078,"Handling instruction description"
4079,"Handling instruction description code"
4148,"Information category description"
4149,"Information category description code"
4150,"Information detail description"
4151,"Information detail description code"
4153,"Information details code qualifier"
4183,"Special condition code"
4184,"Special requirement description"
4187,"Special requirement type code"
4215,"Transport charges payment method code"
4219,"Transport service priority code"
4221,"Discrepancy nature identification code"
4233,"Marking instructions code"
4237,"Payment arrangement code"
4276,"Payment terms description"
4277,"Payment terms description identifier"
4279,"Payment terms type code qualifier"
