APERAK,Application error and acknowledgement message,A code to identify the application error and acknowledgement message.
AUTACK,Secure authentication and acknowledgement message,A code to identify the secure authentication and acknowledgement message.
AUTHOR,Authorization message,A code to identify the authorization message.
BANSTA,Banking status message,A code to identify the banking status message.
BAPLIE,Bayplan/stowage plan occupied and empty locations message,A code to identify the bayplan/stowage plan occupied and empty locations message.
BAPLTE,Bayplan/stowage plan total numbers message,A code to identify the bayplan/stowage plan total numbers message.
BOPBNK,Bank transactions and portfolio transactions report message,A code to identify the bank transactions and portfolio transactions report message.
BOPCUS,Balance of payment customer transaction report message,A code to identify the balance of payment customer transaction report message.
BOPDIR,Direct balance of payment declaration message,A code to identify the direct balance of payment declaration message.
BOPINF,Balance of payment information from customer message,A code to identify the balance of payment information from customer message.
CALINF,Vessel call information message,A code to identify the vessel call information message.
CASINT,Request for legal administration action in civil proceedings message,A code to identify the request for legal administration action in civil proceedings message.
CASRES,Legal administration response in civil proceedings message,A code to identify the legal administration response in civil proceedings message.
COARRI,Container discharge/loading report message,A code to identify the container discharge/loading report message.
CODECO,Container gate-in/gate-out report message,A code to identify the container gate-in/gate-out report message.
CODENO,Permit expiration/clearance ready notice message,A code to identify the permit expiration/clearance ready notice message.
COEDOR,Container stock report message,A code to identify the container stock report message.
COHAOR,Container special handling order message,A code to identify the container special handling order message.
COMDIS,Commercial dispute message,A code to identify the commercial dispute message.
CONAPW,Advice on pending works message,A code to identify the advice on pending works message.
CONDPV,Direct payment valuation message,A code to identify the direct payment valuation message.
CONDRA,Drawing administration message,A code to identify the drawing administration message.
CONDRO,Drawing organisation message,A code to identify the drawing organisation message.
CONEST,Establishment of contract message,A code to identify the establishment of contract message.
CONITT,Invitation to tender message,A code to identify the invitation to tender message.
CONPVA,Payment valuation message,A code to identify the payment valuation message.
CONQVA,Quantity valuation message,A code to identify the quantity valuation message.
CONRPW,Response of pending works message,A code to identify the response of pending works message.
CONTEN,Tender message,A code to identify the tender message.
CONTRL,Syntax and service report message,A code to identify the syntax and service report message.
CONWQD,Work item quantity determination message,A code to identify the work item quantity determination message.
COPARN,Container announcement message,A code to identify the container announcement message.
COPINO,Container pre-notification message,A code to identify the container pre-notification message.
COPRAR,Container discharge/loading order message,A code to identify the container discharge/loading order message.
COREOR,Container release order message,A code to identify the container release order message.
COSTCO,Container stuffing/stripping confirmation message,A code to identify the container stuffing/stripping confirmation message.
COSTOR,Container stuffing/stripping order message,A code to identify the container stuffing/stripping order message.
CREADV,Credit advice message,A code to identify the credit advice message.
CREEXT,Extended credit advice message,A code to identify the extended credit advice message.
CREMUL,Multiple credit advice message,A code to identify the multiple credit advice message.
CUSCAR,Customs cargo report message,A code to identify the customs cargo report message.
CUSDEC,Customs declaration message,A code to identify the customs declaration message.
CUSEXP,Customs express consignment declaration message,A code to identify the customs express consignment declaration message.
CUSREP,Customs conveyance report message,A code to identify the customs conveyance report message.
CUSRES,Customs response message,A code to identify the customs response message.
DEBADV,Debit advice message,A code to identify the debit advice message.
DEBMUL,Multiple debit advice message,A code to identify the multiple debit advice message.
DELFOR,Delivery schedule message,A code to identify the delivery schedule message.
DELJIT,Delivery just in time message,A code to identify the delivery just in time message.
